City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,ajdabiya,30.7554,20.2263,13.85,28,0,2.57,LY,1674321667
259,esperance,-33.8667,121.9,17.01,71,1,7.47,AU,1674321667
260,pevek,69.7008,170.3133,-33.38,96,100,2.84,RU,1674321668
261,hamilton,39.1834,-84.5333,2.34,71,100,1.54,US,1674321668
262,aklavik,68.2191,-135.0107,-20.0,77,100,3.6,CA,1674321668
263,racale,39.9631,18.0938,11.25,63,92,6.56,IT,1674321669
264,manoel urbano,-8.8389,-69.2597,29.13,56,97,2.52,BR,1674321669
265,landerneau,48.4525,-4.2525,6.42,73,0,2.57,FR,1674321670
266,zyryanka,65.75,150.85,-34.18,98,100,2.13,RU,1674321670
267,kavaratti,10.5669,72.642,26.93,62,1,3.79,IN,1674321671
268,labuhan,-6.8844,112.2051,24.58,94,90,2.08,ID,1674321671
269,kamina,-8.7386,24.9906,17.38,94,100,1.9,CD,1674321672
270,kedougou,12.5579,-12.1743,35.64,10,1,2.2,SN,1674321672
271,gallup,35.5281,-108.7426,-4.58,77,37,0.45,US,1674321672
272,asau,46.4333,26.4,1.51,78,3,0.56,RO,1674321673
273,jasper,37.2001,-94.3502,8.26,59,100,3.6,US,1674321673
274,ushtobe,45.2514,77.9838,-13.91,89,11,5.87,KZ,1674321674
275,san patricio,28.017,-97.5169,16.97,88,100,5.08,US,1674321674
276,bara,10.3744,10.7288,29.85,13,9,3.08,NG,1674321674
277,umm lajj,25.0213,37.2685,23.15,61,46,3.1,SA,1674321675
278,sao joao batista,-27.2761,-48.8494,33.15,67,95,2.78,BR,1674321675
279,salinas,36.6777,-121.6555,9.72,78,0,5.66,US,1674321676
280,iqaluit,63.7506,-68.5145,-11.15,85,100,3.6,CA,1674321676
281,bonavista,48.6499,-53.1147,-0.46,94,100,14.76,CA,1674321677
282,narsaq,60.9167,-46.05,-16.88,68,1,2.77,GL,1674321677
283,valdivia,-39.8142,-73.2459,22.05,51,97,2.57,CL,1674321677
284,ostrovnoy,68.0531,39.5131,-6.27,86,15,5.55,RU,1674321678
285,spring hill,28.4769,-82.5255,20.69,51,100,4.63,US,1674321405
286,chokurdakh,70.6333,147.9167,-39.73,100,93,2.67,RU,1674321678
287,pizarro,4.9533,-77.366,26.14,84,33,2.89,CO,1674321679
288,oliver,49.1831,-119.5524,-2.86,86,100,3.09,CA,1674321679
289,porto novo,6.4965,2.6036,29.63,64,24,4.91,BJ,1674321679
290,kruisfontein,-34.0033,24.7314,23.27,82,21,4.17,ZA,1674321680
291,hami,42.8,93.45,-8.78,38,66,3.87,CN,1674321680
292,kashi,39.4547,75.9797,-10.44,73,41,3.0,CN,1674321681
293,ponta delgada,37.7333,-25.6667,15.4,67,75,4.63,PT,1674321681
294,mahon,39.8885,4.2658,7.31,53,40,4.63,ES,1674321654
295,christchurch,-43.5333,172.6333,16.06,81,82,2.57,NZ,1674321492
296,bonthe,7.5264,-12.505,29.28,62,9,6.37,SL,1674321682
297,qaqortoq,60.7167,-46.0333,-18.56,70,2,3.81,GL,1674321682
298,maceio,-9.6658,-35.7353,31.69,58,20,5.66,BR,1674321598
299,nikolsk,53.7189,46.0712,-9.69,84,100,3.85,RU,1674321683
300,nagtipunan,16.2167,121.6,21.46,99,100,0.83,PH,1674321683
301,bethel,41.3712,-73.414,4.72,66,100,5.14,US,1674321510
302,ondjiva,-17.0667,15.7333,22.87,70,100,3.29,AO,1674321684
303,port elizabeth,-33.918,25.5701,25.17,89,75,2.68,ZA,1674321684
304,guaduas,5.0669,-74.595,23.58,72,69,1.24,CO,1674321685
305,fare,-16.7,-151.0167,26.76,69,77,3.52,PF,1674321685
306,mandan,46.8267,-100.8896,-5.35,88,0,4.63,US,1674321424
307,baracoa,20.3467,-74.4958,28.03,59,32,3.24,CU,1674321686
308,simpang,-1.2667,104.0833,23.06,95,67,0.52,ID,1674321686
309,charters towers,-20.1,146.2667,21.78,93,56,3.25,AU,1674321686
310,san vicente,-26.6167,-54.1333,35.42,25,13,2.24,AR,1674321560
311,san antonio,29.4241,-98.4936,13.4,78,100,4.12,US,1674321441
312,kantilo,20.35,85.1833,19.7,87,4,1.39,IN,1674321559
313,okhotsk,59.3833,143.3,-26.03,76,99,6.2,RU,1674321687
314,cabo san lucas,22.8909,-109.9124,22.51,66,0,2.06,MX,1674321410
315,le port,-20.9373,55.2919,28.0,89,100,3.51,RE,1674321688
316,nizhniy kuranakh,58.8353,125.4869,-45.44,98,100,0.93,RU,1674321688
317,nouadhibou,20.931,-17.0347,20.99,60,2,7.72,MR,1674321689
318,krasnokholm,51.5979,54.1567,-15.36,86,11,2.29,RU,1674321689
319,vryburg,-26.9566,24.7284,27.78,30,74,4.76,ZA,1674321689
320,izhma,65.0083,53.9113,-4.38,93,97,3.55,RU,1674321690
321,ossora,59.2353,163.0719,-21.69,97,100,4.37,RU,1674321690
322,lac du bonnet,50.2536,-96.0612,-8.72,91,63,1.96,CA,1674321485
323,yumen,40.2833,97.2,-9.54,40,92,11.32,CN,1674321691
324,berdigestyakh,62.0989,126.6992,-48.4,100,92,1.58,RU,1674321691
325,humaita,-7.5061,-63.0208,30.02,63,51,1.84,BR,1674321691
326,alofi,-19.0595,-169.9187,23.94,94,46,2.06,NU,1674321692
327,ahipara,-35.1667,173.1667,17.44,93,74,2.15,NZ,1674321692
328,atbasar,51.8,68.3333,-18.39,81,21,1.47,KZ,1674321693
329,korla,41.7597,86.1469,-12.57,74,1,2.92,CN,1674321693
330,chengde,40.9725,117.9361,-9.86,61,17,1.44,CN,1674321693
331,nhulunbuy,-12.2333,136.7667,25.34,94,75,2.57,AU,1674321694
332,tilichiki,60.4667,166.1,-28.82,91,100,6.25,RU,1674321694
333,santa rosalia,27.3167,-112.2833,14.13,44,0,6.03,MX,1674321694
334,poum,-20.2333,164.0167,26.82,87,100,11.21,NC,1674321695
335,nanning,22.8167,108.3167,12.25,86,58,3.7,CN,1674321695
336,uporovo,56.3109,66.2693,-9.9,87,87,3.4,RU,1674321696
337,buin,-33.7333,-70.75,29.47,22,0,4.25,CL,1674321458
338,balakhninskiy,58.0106,114.2769,-49.24,99,61,1.22,RU,1674321696
339,inhambane,-23.865,35.3833,27.99,69,20,2.06,MZ,1674321696
340,saint-philippe,-21.3585,55.7679,27.77,85,100,2.21,RE,1674321697
341,abu zabad,12.35,29.25,25.95,15,6,5.15,SD,1674321697
342,nabire,-3.3667,135.4833,23.48,93,100,1.47,ID,1674321698
343,sao filipe,14.8961,-24.4956,22.35,66,5,6.86,CV,1674321698
344,zhukovka,53.534,33.728,-0.85,64,60,4.38,RU,1674321699
345,atasu,48.6814,71.6433,-18.95,99,22,2.8,KZ,1674321699
346,port moresby,-9.4431,147.1797,23.68,94,20,1.54,PG,1674321699
347,savinskiy,62.9342,40.1361,-12.98,97,20,2.17,RU,1674321700
348,namatanai,-3.6667,152.4333,26.37,83,100,1.75,PG,1674321700
349,orlik,52.5178,99.825,-35.63,98,95,0.84,RU,1674321701
350,sarangani,5.4033,125.4636,25.29,82,100,4.78,PH,1674321701
351,skibbereen,51.55,-9.2667,10.06,97,100,3.46,IE,1674321701
352,terme,41.2092,36.9739,8.96,72,47,1.54,TR,1674321702
353,masuguru,-11.3667,38.4167,22.98,98,100,1.43,TZ,1674321702
354,chiang mai,18.75,99.0,22.07,70,0,1.03,TH,1674321702
355,tiznit,29.5833,-9.5,16.32,38,0,3.41,MA,1674321703
356,batagay-alyta,67.8006,130.4114,-33.71,81,95,2.1,RU,1674321703
357,cap-aux-meules,47.3821,-61.8597,-1.97,74,75,8.75,CA,1674321703
358,erzin,36.9559,36.2,12.05,62,0,3.08,TR,1674321704
359,hammerfest,70.6634,23.6821,1.25,75,100,4.63,NO,1674321704
360,san cristobal,7.7669,-72.225,26.1,39,7,3.53,VE,1674321704
361,dukat,62.55,155.55,-40.0,100,100,2.26,RU,1674321705
